name,description
Eclipse Coin,"Once per rest, flip a coin. On heads, you gain a +1 bonus to attack rolls until your next successful attack. On tails, you gain a +1 to your evasion until an attack fails against you."
Sorcerer's Hat,"This conical blue hat is covered in silver stars. Once per rest, you can cast a spell from your vault with a Recall Cost equal to or less than your tier. This doesn't work for permanently vaulted cards."
Ghoulskin Gloves,"When you attack with a physical weapon while wearing these gloves, the damage is considered both physical and magical."
Gloves of Alacrity,"When you would mark a Stress to reload a weapon, you don't mark it."
Insomniac's Periapt,"When you take a rest without clearing Hit Points or Stress, you gain a +2 bonus to attack and damage rolls until your next rest."
Wildrider's Saddle,"This saddle grants any animal it's strapped onto the ability to understand their rider's commands."
Soul-Twin Circlets,"Two creatures can wear this pair of circlets. You can spend a Hope to switch places with whoever is wearing the other circlet."
Namer's Oracle,"Once per session, you can roll this set of runic dice to reveal the full name of the last person you touched."
Crucible Frames,"These eyeglasses reveal weak points in objects and creatures. Three times per rest, you can spend a Hope to gain advantage on an attack roll."
Two-Faced Aegis Broach,"Once per rest, flip a coin. On heads, you become immune to the next physical damage you take. On tails, you become immune to the next magic damage you take."
Knockback Bracelets,"On a successful weapon attack, you can knock your target back up to Close range from their location."
Force Disc,"This shimmering two-dimensional disc of magical force is 4 feet in diameter and is magically tethered to a pebble. The dsic always floats 3 feet north of, and at the same elevation as, the pebble. The pebble has a mass equal to one-hundredth of the total mass carried by the disc."
Molepaw Mittens,"Spend a Hope to swim through earth as if it were water for the next 10 minutes."
Timekeeper's Pendant,"You can choose an additional downtime move each rest."
Iron Dagger Pendant,"Once per long rest, you can spend a Hope to tell the pendant a creature's name. The pendant gently pulls you toward that creature's current location until your next long rest."
Collar of Ascendancy,"An animal who wears this collar gains the ability to speak and understand common speech."
Temporal Sanctuary,"A PC who takes a rest in the temporal sanctuary can choose an additional downtime move."
Hero's Helm,"When you critically succeed on an attack, all allies within Close range gain a Hope."
Rings of Friendship,"Two creatures can wear this pair of rings shaped like coiled snakes. While wearing a ring, you can spend the Hope of whoever is wearing the other ring (with their permission) as if it were your own."
Rings of Camaraderie,"Two creatures can wear this pair of wooden rings. While wearing a ring, you can mark the Stress of whoever is wearing th eother ring (with their permission) as if it wer eyour own."
Rings of Alliance,"Two creatures can wear this pair of rose gold rings. Once per session while wearing a ring, you can initiate a Tag Team Roll with whoever is wearing the other ring without spending Hope or counting against your session limit for Tag Team Rolls."
Phobophage's Circlet,"When the GM spends a Fear, roll a d4. Once per scene on a result of 4, you clear a stress."
Quillshawl,"If an adversary attacks you within Melee range, they must succeed on a Reaction Roll (12) or mark a Hit Point."
Warp Pendant,"Once per rest, mark a Stress to teleport to a location you can clearly see."
Portal Frames,"This pair of small ornate frames, one red and one blue, are connected. Anything that passes into one exits from the other."
Communion Relic,"Once per rest, you can spend a Hope to use an ally's Expereince as if ti were your own. You can carry only one relic."
Augur's Relic,"Once per long rest, you can activate your Hope feature without spending Hope. You can carry only one relic."
