name,weapon_type,damage_type,trait,range,damage,burden,feature
Improved Shortbow,Primary,Physical,Agility,Far,d6+6 phy,Two-Handed,:
Improved Crossbow,Primary,Physical,Finesse,Far,d6+4 phy,One-Handed,:
Improved Longbow,Primary,Physical,Agility,Very Far,d8+6 phy,Two-Handed,Cumbersome: -1 to Finesse
Gilded Falchion,Primary,Physical,Strength,Melee,d10+4 phy,One-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Knuckle Blades,Primary,Physical,Strength,Melee,d10+6 phy,One-Handed,"Brutal: When you roll the maximum value on a damage die, roll an additional damage die."
Urok Broadsword,Primary,Physical,Finesse,Melee,d8+3 phy,One-Handed,"Deadly: When you deal Severe damage, the target must mark an additional HP."
War Pick,Primary,Physical,Strength,Melee,d8+3 phy,One-Handed,"Deadly: When you deal Severe damage, the target must mark an additional HP."
Cane Sword,Primary,Physical,Finesse,Melee,d8+4 phy,One-Handed,Retractable: The blade can be hidden in the cane to avoid detection.
Bladed Fan,Primary,Physical,Presence,Melee,d8+3 phy,One-Handed,"Parry: When you are attacked, roll this weapon's damage dice. If any of the attacker's damage dice rolled the same value as your dice, the matching results are discarded from the attacker's damage dice before the damage you take is totaled."
Cyrugien's Scalpel,Primary,Physical,Knowledge,Melee,d8+3 phy,One-Handed,"Scary: On a successful"
Bladed Whip,Primary,Physical,Agility,Very Close,d8+3 phy,One-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Steelforged Halberd,Primary,Physical,Strength,Very Close,d8+4 phy,Two-Handed,"Scary: On a successful attack, the target must mark a Stress."
War Scythe,Primary,Physical,Finesse,Very Close,d8+5 phy,Two-Handed,Reliable: +1 to attack rolls
Lance,Primary,Physical,Instinct,Very Close,d10+5 phy,Two-Handed,Cumbersome: -1 to Finesse
Javelins,Primary,Physical,Agility,Very Close,d6_6 phy,One-Handed,"Stockpiled: You can throw this weapon within Far range by making an attack roll using Agility without having to retrieve it, as you always have another on hand."
Blunderbuss,Primary,Physical,Finesse,Close,d8+6 phy,Two-Handed,"Reloading: After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Greatbow,Primary,Physical,Strength,Far,d6+6 phy,Two-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Finehair Bow,Primary,Physical,Agility,Very Far,d6+5 phy,Two-Handed,Reliable: +1 to attack rolls
Improved Arcane Gauntlets,Primary,Magical,Strength,Melee,d10+6 mag,Two-Handed,:
Improved Hallowed Axe,Primary,Magical,Strength,Melee,d8+4 mag,One-Handed,:
Improved Brightsword,Primary,Magical,Strength,Melee,d10+6 mag,Two-Handed,:
Improved Shadowblade,Primary,Magical,Presence,Melee,d8+3 phy/mag,One-handed,"Otherworldly: On a successful attack, you can deal physical or magic damage"
Improved Glowing Rings,Primary,Magical,Agility,Very Close,d10+5 mag,Two-Handed,:
Improved Hand Runes,Primary,Magical,Instinct,Very Close,d10+3 mag,One-Handed,:
Improved Returning Blade,Primary,Magical,Finesse,Close,d8+3 mag,One-Handed,"Returning: When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Improved Shortstaff,Primary,Magical,Instinct,Close,d8+4 mag,One-Handed,:
Improved Enchanted Chakram,Primary,Magical,Finesse,Close,d6+4 mag,One-Handed,"Ricochet: When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Improved Casting Dagger,Primary,Magical,Instinct,Close,d6+3 mag,One-Handed,"Versatile: This weapon can also be used with these statistics—Presence, Melee, d8+3."
Improved Dualstaff,Primary,Magical,Instinct,Far,d6+6 mag,Two-Handed,:
Improved Scepter,Primary,Magical,Presence,Far,d6+3 mag,Two-Handed,"Versatile: This weapon can also be used with these statistics—Presence, Melee, d8+3."
Improved Wand,Primary,Magical,Knowledge,Far,d6+4 mag,One-Handed,:
Improved Runelock Pistol,Primary,Magical,Knowledge,Far,d6+6 mag,One-handed,"Reloading: After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Improved Greatstaff,Primary,Magical,Knowledge,Very Far,d6+3 mag,Two-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Improved Arcane Rifle,Primary,Magical,Agility,Very Far,d10+6 mag,Two-Handed,"Aimed: Your attack has disadvantage if the target is within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty."
Ego Blade,Primary,Magical,Agility,Melee,d12+4 mag,One-Handed,Pompous: You must have a Presence of 0 or lower to use this weapon.
Casting Sword,Primary,Magical,Strength,Melee,d10+4 mag,Two-Handed,"Versatile: This weapon can also be used with these statistics—Knowledge, Far, d6+3."
Devouring Dagger,Primary,Magical,Finesse,Melee,d8+4 mag,One-Handed,"Scary: On a successful attack, the target must mark a Stress."
Hammer of Exota,Primary,Magical,Instinct,Melee,d8+6 mag,Two-Handed,"Eruptive: On a successful attack against a target within Melee range, all other adversaries within Very Close range must succeed on a reaction roll (14) or take half damage."
Enchanted Shillelagh,Primary,Magical,Strength,Melee,d8+3 mag,One-Handed,Protective: +1 to your Armor Score
Displacement Razor,Primary,Magical,Finesse,Melee,d8+3 mag,Two-Handed,"Omnipresent: You can make attacks against targets within Very Far range, but must do so with disadvantage"
Spellbound Bangles,Primary,Magical,Knowledge,Melee,d10+6 mag,Two-Handed,:
Fury Gem,Primary,Magical,Instinct,Close,d8+3 mag,One-Handed,"Burning: When you roll the maximum result on a damage die, the target must mark a Stress."
Enchanted Lute,Primary,Magical,Presence,Close,d8+3 mag,Two-Handed,"Invigorating: On a successful attack, roll a d4. On a result of 4, clear a Stress."
Yutari Bloodbow,Primary,Magical,Finesse,Far,d6+4 mag,Two-Handed,"Brutal: When you roll the maximum value on a damage die, roll an additional damage die."
Elder Bow,Primary,Magical,Instinct,Far,d6+4 mag,Two-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Scepter of Elias,Primary,Magical,Presence,Far,d6+3 mag,One-Handed,"Invigorating: On a successful attack, roll a d4. On a result of 4, clear a Stress."
Wand of Enthrallment,Primary,Magical,Presence,Far,d6+4 mag,One-Handed,"Persuasive: Before you make a Presence Roll, you can mark a Stress to gain a +2 bonus to the result."
Keeper's Staff,Primary,Magical,Knowledge,Far,d6+4 mag,Two-Handed,Reliable: +1 to attack rolls.
Splintershaft Bow,Primary,Magical,Agility,Far,d6+6 mag,Two-Handed,"Volleyed: Spend a Hope to target a group of creatures within range. Targets you succeed against take half damage."
Improved Shortsword,Secondary,Physical,Agility,Melee,d8+2 phy,One-Handed,Paired: +3 to primary weapon damage to targets within Melee range.
Improved Round Shield,Secondary,Physical,Strength,Melee,d4+2 phy,One-Handed,Protective: +2 to Armor Score.
Improved Tower Shield,Secondary,Physical,Strength,Melee,d6+2 phy,One-Handed,Barrier: +3 to Armor Score; -1 to Evasion.
Improved Small Dagger,Secondary,Physical,Finesse,Melee,d8+2 phy,One-Handed,Paired: +3 to primary weapon damage to targets within Melee range.
Improved Hatchet,Secondary,Physical,Agility,Melee,d8+2 phy,One-Handed,"Follow-Up: On a successful attack with you rprimary weapon within Melle range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Improved Offhand Brass Knuckles,Secondary,Physical,Strength,Melee,d8+2 phy,One-Handed,Paired: +3 to primary weapon damage to targets within Melee range
Improved Throwing Knives,Secondary,Physical,Finesse,Melee,d8+2 phy,One-Handed,"Stockpiled: You can throw this weapon within Close range by making an attack roll using Finesse. You don't have to retrieve it, as you always have another on hand."
Improved Fighting Cloak,Secondary,Physical,Presence,Melee,d4+2 phy,One-Handed,Padded: +3 to damage thresholds.
Improved Rune Shield,Secondary,Magical,Knowledge,Melee,d4+2 mag,One-Handed,Protective: +2 to Armor Score
Improved Whip,Secondary,Physical,Presence,Very Close,d6+2 phy,One-Handed,Startling: Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Improved Focus Runes,Secondary,Magical,Instinct,Very Close,d6+2 mag,One-Handed,Focused: +1 to primary weapon damage to targets within Very Close range
Improved Grappler,Secondary,Physical,Finesse,Close,d6+2 phy,One-Handed,"Hooked: On a successful attack, you can pull the target into Melee range."
Improved Hand Crossbow,Secondary,Physical,Finesse,Far,d6+3 phy,One-Handed,:
Spiked Shield,Secondary,Physical,Strength,Melee,d6+2 phy,One-Handed,Double Duty: +1 to Armor Score; +1 to primary weapon damage within Melee range
Parrying Dagger,Secondary,Physical,Finesse,Melee,d6+2 phy,One-Handed,"Parry: When you are attacked, roll this weapon's damage dice. If any of the attacker's damage dice rolled the same value as your dice, the matching results are discarded from the attacker's damage dice before the damage you take is totaled."
Collapsible Baton,Secondary,Physical,Strength,Melee,d8 phy,One-Handed,"Nonlethal: When a target would mark any number of Hit Points from an attack with this weapon, they mark an equal number of stress instead."
Eldritch Vambrace,Secondary,Magic,Instinct,Melee,d8 mag,One-Handed,"Deflecting: When you are attacked, you can mark an Armor Slot to gain a bonus to your Evasion equal to your Armor Score against the attack."
Segmented Staff,Secondary,Physical,Agility,Very Close,d6+4 phy,One-Handed,"Double Duty: +1 to Armor Score; +1 to primary weapon damage within Melee range."
Razor Wire,Secondary,Physical,Finesse,Very Close,d6+3 phy,One-Handed,"Entangling: On a successful attack with your primary weapon against a target within Very Close range, you can spend a Hope to make the target temporarily Vulnerable."
Returning Axe,Secondary,Physical,Agility,Close,d6+4 phy,One-Handed,"Returning: When this weapon is thrown within its range, it appears in your hand immediately after the attack."
