name,description
Fulgurite Shard,"Choose a Point within Far range. All targets within Close range of that point must suceed on a Reaction Roll (16) or take 3d6 magic damage and mark 1d4 Stress as lightning crackles through the area."
Demiurge's Draught,"You can drink this draught to gain a +1 bonus to your proficiency for your next successful attack roll."
Cockerel Claw Tea,"You can drink this tea to refresh your features as if you had taken a long rest."
Potion of Vigilance,"You can drink this potion to gain a +1 bonus to your Evasion until you mark a Hit Point."
Cacophonous Concoction,"When you drink this potion, anything you say or do in the next hour becomes impossible for a witness to recount. Any attempts they make to communicate what they saw, heard, or otherwise sensed comes out garbled or nonsensical."
Nightmare Mead,"You can drink this potion to discover the deepest fear of the next person you make eye contact with. When you do, the GM gains a Fear."
Stake of Abjuration,"You can hammer this stake into the ground and make a proclamation. Until your next rest, a creature within Far range of the stake who trangresses that proclamation must mark a Stress. The stake lasts until your next rest, then it shatters."
Psychopomp's Shroud,"You can place this shroud over the corpse of a recently deceased creature. The creature's spirit enters the shroud and becomes your spectral assistant until the next sunrise, when they pass through the veil of death and take the shroud with them."
Phial of Deep Ink,"You can drink this bottle of ink to transform into a cephalopod of roughly your size for the next hour. You gain rubbery skin, soft bones, the ability to breathe underwater, and new limbs until you have eight total."
Mesmer's Tonic,"When you drink this tonic, the only thing you can hear until your next rest are the surface thoughts of creatures within Very Close range."
Invisibility Potion,"When you drink this poition, you become Hidden until you deal damage to another creature or until your next rest."
Formoid Serum,"You can drink this potion to become a swarm of 16 million ants until the end of the scene. You keep and have access to all equipment, loot, and features."
Steelskin Salve,"You can apply this salve to your skin to gain a bonus to your damage thresholds equal to your tier until the end of the scene."
Godling's Pomelo,"You can eat this citrus fruit to clear all Hit Points and Stress."
Snakeskin Spirit,"You can drink this potion to slough off your outer layer of skin and heal a Scar."
Magic-User's Malison,"When you release this spellcaster's trapped soul, you can cast one spell from a card in your vault as if it were in your loadout. This doesn't work for permanently vaulted cards."
Quintessential Severant,"You can use this magic blade to cut one magical or metaphysical bond such as an enchantment, contract, magical tether, or divine oath. When you do, the blade shatters."
Mask of the Echoed Self,"You can wear this mask during your next level up to swap the values of any of your traits. When you do, the mask becomes your permanent face."
Necroprancer's Bell,"You can break this rusted, clapperless bell against the ground to summon a skeletal steed that climbs out of the earth and serves you until the next sunrise."
Drakemantle,"You can use this enchanted ancient dragon hide to gain dracnoic characteristics until the end of the scene, when the hide falls away in tatters. Until then, you can fly and gain a +5 bnous to your damage thresholds and gani a +1 bonus to your Proficiency."
Gambler's Fallacy,"You can spend any number of handfuls of gold by placing them into this slotted ceramic jar shaped like a pig. When you throw the jar at a point within Far range, it explodes and deals 1d20 magic damage for each handful of gold spent to all creatures within Close range of that point. All gold within the jar is destroyed."
Lionheart Tonic,"You can drink this tonic to gain a +1 bonus to your Proficiency until you roll with Fear."
Tears of the Undying Hero,"When you drink this potion, death can't touch you until your next long rest. When you would mark your last Hit Point, instead of making a death move, you make one final action roll before falling into a dreamless slumber until an ally chooses the Tend to Wounds downtime downtime move to clear your Hit Points."
Featherstep Potion,"You can drink this potion to sprout small wings from your ankles that give you a bonus to your evasion."
