name,weapon_type,damage_type,trait,range,damage,burden,feature
Dual-Ended Sword,Primary,Physical,Agility,Melee,d10+9 phy,Two-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Impact Gauntlet,Primary,Physical,Strength,Melee,d10+11 phy,One-Handed,"Concussive: On a successful attack, you can spend a Hope to knock the target back to Far range."
Sledge Axe,Primary,Physical,Strength,Melee,d12+13 phy,Two-Handed,"Destructive: -1 to Agility; on a successful attack, all adversaries within Very Close range must mark a Stress."
Curved Dagger,Primary,Physical,Finesse,Melee,d8+9 phy,One-Handed,"Serrated: When you roll a 1 on a damage die, it deals 8 damage instead."
Severed Dragon Claw,Primary,Physical,Instinct,Melee,d10+11 phy,One-Handed,"Destructive: -1 to Agility; on a successful attack, all adversaries within Very Close range must mark a Stress."
Infinite Staff,Primary,Physical,Presence,Melee,d10+9 phy,Two-Handed,"Extending: You can increase the range of this weapon up to Very Far. You gain a -1 Penalty to attack rolls for each step you increase the range by (such as Melee to Very Close, Very Close to Close, or Close to Far)."
Extended Polearm,Primary,Physical,Finesse,Very Close,d8+10 phy,Two-Handed,Long: This weapon's attack targets all adversaries in a line within range.
Bec de Corbin,Primary,Physical,Agility,Very Close,d10+9 phy,Two-Handed,"Devastating: Before you make an attack roll, you can mark a Stress to use a d20 as your damage die."
Swinging Ropeblade,Primary,Physical,Presence,Close,d8+9 phy,One-Handed,"Grappling: On a successful attack, you can spend a Hope to Restrain the target or pull them into Melee range with you."
Ricochet Axes,Primary,Physical,Agility,Far,d6+11 phy,Two-Handed,Bouncing: Mark 1 or more Stress to hit that many targets in range of the attack.
Aantari Bow,Primary,Physical,Finesse,Far,d6+11 phy,Two-Handed,Reliable: +1 to attack rolls
Black Powder Serpentine,Primary,Physical,Strength,Far,d8+12 phy,Two-Handed,"Incendiary: -1 to Agility; on a successful attack, all creatures within Very Close range of the target must mark a Hit Point."
Clockwork Crossbow,Primary,Physical,Finesse,Far,d6+11 phy,One-Handed,"Quick: When you make an attack, you can mark a Stress to target another creature within range."
Arquebus,Primary,Physical,Knowledge,Far,d8+10 phy,Two-Handed,"Reloading: After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Hand Cannon,Primary,Physical,Finesse,Very Far,d6+12 phy,One-Handed,"Reloading: After you make an attack, roll a d6. On a 1, you must mark a Stress to reload this weapon before you can fire it again."
Legendary Arcane Gauntlets,Primary,Magical,Strength,Melee,d10+12 mag,Two-Handed,:
Legendary Hallowed Axe,Primary,Magical,Strength,Melee,d8+10 mag,One-Handed,:
Legendary Brightsword,Primary,Magical,Strength,Melee,d10+12 mag,Two-Handed,:
Legendary Shadowblade,Primary,Magical,Presence,Melee,d8+9 phy/mag,One-handed,"Otherworldly: On a successful attack, you can deal physical or magic damage."
Legendary Glowing Rings,Primary,Magical,Agility,Very Close,d10+11 mag,One-Handed,:
Legendary Hand Runes,Primary,Magical,Instinct,Very Close,d10+9 mag,One-Handed,:
Legendary Enchanted Chakram,Primary,Magical,Finesse,Close,d6+10 mag,One-Handed,"Ricochet: When you throw this weapon, it returns to your hand. When you make an attack, you can mark a Stress to target another creature within Very Close range of the first target with that attack."
Legendary Casting Dagger,Primary,Magical,Instinct,Close,d6+9 mag,One-Handed,"Versatile: This weapon can also be used with these statistics—Presence, Melee, d8+9."
Legendary Returning Blade,Primary,Magical,Finesse,Close,d8+9 mag,One-Handed,"Returning: When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Legendary Shortstaff,Primary,Magical,Instinct,Close,d8+10 mag,One-Handed,:
Legendary Dualstaff,Primary,Magical,Instinct,Far,d8+12 mag,Two-Handed,:
Legendary Scepter,Primary,Magical,Presence,Far,d6+9 mag,Two-Handed,"Versatile: This weapon can also be used with these statistics—Presence, Melee, d8+6."
Legendary Wand,Primary,Magical,Knowledge,Far,d6+10 mag,One-Handed,:
Legendary Runelock Pistol,Primary,Magical,Knowledge,Far,d6+12 mag,One-handed,"Reloading: After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Legendary Greatstaff,Primary,Magical,Knowledge,Very Far,d6+9 mag,Two-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Legendary Arcane Rifle,Primary,Magical,Agility,Very Far,d10+12 mag,Two-Handed,"Aimed: Your attack has disadvantage if the target is within Very Close range of you or within Melee range of one of your allies. You can mark a Stress to ignore this penalty."
Sword of Light and Flame,Primary,Magical,Strength,Melee,d10+11 mag,Two-Handed,Hot: This weapon cuts through solid material.
Siphoning Gauntlets,Primary,Magical,Presence,Melee,d10+9 mag,Two-Handed,"Lifestealing: On a successful attack, roll a d6. On a result of 6, clear a Hit Point or clear a Stress."
Midas Scythe,Primary,Magical,Knowledge,Melee,d10+9 mag,Two-Handed,Greedy: Spend a handful of gold to gain a +1 bonus to your Proficiency on a damage roll.
Starmetal Blade,Primary,Magical,Agility,Melee,d8+10 mag,One-Handed,"Serrated: When you roll a 1 on a damage die, it deals 8 damage instead."
Adder's Fang,Primary,Magical,Finesse,Melee,d8+9 mag,One-Handed,"Venemous: When you defeat a creature with this weapon, the target becomes temporarily Vulnerable."
Demon's Edge,Primary,Magical,Presence,Melee,d8+10 mag,One-Handed,"Disturbing: When you defeat a creature with this weapon, all adversaries within Close range must mark a Stress."
Storm God's Greataxe,Primary,Magical,Strength,Very Close,d10+9 mag,Two-Handed,"Bouncing: Mark any number of Stress to target that many additional creatures in range of the attack."
Ethereal Zweihander,Primary,Magical,Instinct,Very Close,d10+9 mag,Two-Handed,"Ethereal: You must mark a Stress to conjure this weapon. It lasts until the end of the scene."
Floating Bladeshards,Primary,Magical,Instinct,Close,d8+9 mag,One-Handed,"Powerful: On a successful attack, roll an additional damage die and discard the lowest result."
Bloodstaff,Primary,Magical,Instinct,Far,d20+7 mag,Two-Handed,"Painful: Each time you make a successful attack, you must mark a Stress."
Thistlebow,Primary,Magical,Instinct,Far,d6+13 mag,Two-Handed,Reliable: +1 to attack rolls
Wand of Essek,Primary,Magical,Knowledge,Far,d8+13 mag,One-Handed,Timebending: You can choose the target of your attack after making your attack roll.
Gravity Arbalest,Primary,Magical,Knowledge,Far,d8+6 mag,Two-Handed,"Magnetic: When you make an attack with this weapon, you can spend a Hope to force all adversaries within Very Close range of the target to make a REaction Roll (16). Creatures who fail must mark a Stress and are pulled into Melee range of the target."
Magus Revolver,Primary,Magical,Finesse,Very Far,d6+13 mag,One-Handed,"Reloading: After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Fusion Gloves,Primary,Magical,Knowledge,Very Far,d6+9 mag,Two-Handed,Bonded: Gain a bonus to your damage rolls equal to your level.
Legendary Shortsword,Secondary,Physical,Agility,Melee,d8+6 phy,One-Handed,Paired: +5 to primary weapon damage to targets within Melee range
Legendary Round Shield,Secondary,Physical,Strength,Melee,d4+6 phy,One-Handed,Protective: +4 to Armor Score
Legendary Tower Shield,Secondary,Physical,Strength,Melee,d6+6 phy,One-Handed,Barrier: +5 to Armor Score; -1 to Evasion.
Legendary Small Dagger,Secondary,Physical,Finesse,Melee,d8+6 phy,One-Handed,Paired: +5 to primary weapon damage to targets within Melee range
Legendary Hatchet,Secondary,Physical,Agility,Melee,d8+6 phy,One-Handed,"Follow-Up: On a successful attack with you rprimary weapon within Melle range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Legendary Offhand Brass Knuckles,Secondary,Physical,Strength,Melee,d8+6 phy,One-Handed,Paired: +5 to primary weapon damage to targets within Melee range
Legendary Throwing Knives,Secondary,Physical,Finesse,Melee,d8+6 phy,One-Handed,"Stockpiled: You can throw this weapon within Close range by making an attack roll using Finesse. You don't have to retrieve it, as you always have another on hand."
Legendary Fighting Cloak,Secondary,Physical,Presence,Melee,d4+6 phy,One-Handed,Padded: +5 to damage thresholds.
Legendary Rune Shield,Secondary,Magical,Knowledge,Melee,d4+6 mag,One-Handed,Protective: +4 to Armor Score
Legendary Whip,Secondary,Physical,Presence,Very Close,d6+6 phy,One-Handed,Startling: Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Legendary Focus Runes,Secondary,Magical,Instinct,Very Close,d6+6 mag,One-Handed,Focused: +1 to primary weapon damage to targets within Very Close range
Legendary Grappler,Secondary,Physical,Finesse,Close,d6+6 phy,One-Handed,"Hooked: On a successful attack, you can pull the target into Melee range."
Legendary Hand Crossbow,Secondary,Physical,Finesse,Far,d6+7 phy,One-Handed,:
Braveshield,Secondary,Physical,Agility,Melee,d4+6 phy,One-Handed,"Sheltering: When you mark an Armor Slot, it reduces damage for you and all allies within Melee range of you who took the same damage."
Knuckle Claws,Secondary,Physical,Strength,Melee,d6+8 phy,One-Handed,"Doubled Up: When you make an attack with your primary weapon, you can deal damage to another target within Melee range."
Void Needle,Secondary,Physical,Finesse,Melee,d4+6 phy,One-Handed,"Inverted: When you roll a weapon attack with Fear, you gain a Hope."
Echo Blade,Secondary,Magical,Presence,Melee,d4+6 mag,One-Handed,"Double Up: When you succeed on an attack with your prirmary weapon, you can also deal damage to another target within Melee Range."
Möbius Orb,Secondary,Magical,Knowledge,Melee,d8+6 mag,One-Handed,"recursive: When you roll the maximum value on a damage die, roll an additional damage die and add the result to the total damage. This feature can trigger repeatedly."
Primer Shard,Secondary,Physical,Instinct,Very Close,d4 phy,One-Handed,"Locked On: On a successful attack, your next attack against the same target with your primary weapon automatically succeeds."
Blackblood Tendril,Secondary,Magical,Instinct,Close,d6+8 mag,One-Handed,"Poisonous: When a target marks any number of Hit Points from an attack you rolled with Fear, they mark an equal number of Stress."
